Mes,PosiciÃƒÂ³n,Gobernador,Estado,AprobaciÃƒÂ³n,Rubros,Encuesta,Estatus,Acuerdo PED
01/01/2025,1,Indira VizcaÃƒÂ­no,Colima,0.72,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,2,Dennise GarcÃƒÂ­a MuÃƒÂ±oz Ledo,Guanajuato,0.71,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,3,Manolo JimÃƒÂ©nez Salinas,Coahuila,0.7,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,4,Tere JimÃƒÂ©nez,Aguascalientes,0.69,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,5,Mauricio Kuri,QuerÃƒÂ©taro,0.69,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,6,Javier May,Tabasco,0.69,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,7,Pablo Lemus,Jalisco,0.67,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,8,JoaquÃƒÂ­n DÃƒÂ­az Mena,YucatÃƒÂ¡n,0.65,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,9,RubÃƒÂ©n Rocha Moya,Sinaloa,0.65,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,10,Samuel GarcÃƒÂ­a,Nuevo LeÃƒÂ³n,0.64,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,11,RocÃƒÂ­o Nahle,Veracruz,0.63,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,12,MarÃƒÂ­a Eugenia Campos,Chihuahua,0.62,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,13,SalomÃƒÂ³n Jara,Oaxaca,0.62,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,14,VÃƒÂ­ctor Manuel Castro,Baja California Sur,0.61,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,15,Miguel ÃƒÂngel Navarro,Nayarit,0.6,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,16,David Monreal,Zacatecas,0.6,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,17,Mara Lezama,Quintana Roo,0.58,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,18,Marina del Pilar ÃƒÂvila,Baja California,0.57,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,19,Delfina GÃƒÂ³mez,Estado de MÃƒÂ©xico,0.57,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,20,Alfonso Durazo,Sonora,0.57,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,21,Evelyn Salgado,Guerrero,0.57,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,22,Ricardo Gallardo,San Luis PotosÃƒÂ­,0.56,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,23,Alfredo RamÃƒÂ­rez Bedolla,MichoacÃƒÂ¡n,0.56,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,24,AmÃƒÂ©rico Villarreal,Tamaulipas,0.55,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,25,Layda Sansores,Campeche,0.55,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,26,Clara Brugada,CDMX,0.54,Capacidad,C&E Research,en funciones,Gobierno Cercano
01/01/2025,27,Eduardo RamÃƒÂ­rez,Chiapas,0.53,Capacidad,C&E Research,en funciones,Gobierno Cercano
