Año,Mes,Partido,Posición,Gobernador,Estado,Aprobación,Encuesta,Estatus
2022,sep-22,Morena,32,David Monreal,Zacatecas,0.071,Arias,en funciones
2022,sep-22,Morena,32,David Monreal,Zacatecas,0.279,Mitofksy,en funciones
2022,sep-22,Morena,31,Rutilio Escandón,Chiapas,0.096,Arias,no en funciones
2022,sep-22,Morena,31,Alfredo Ramírez Bedolla,Michoacán,0.379,Mitofksy,en funciones
2022,sep-22,PT,30,Miguel Barbosa,Puebla,0.104,Arias,no en funciones
2022,sep-22,PT,30,Miguel Barbosa,Puebla,0.386,Mitofksy,no en funciones
2022,sep-22,Morena,29,Carlos Manuel Merino,Tabasco,0.111,Arias,no en funciones
2022,sep-22,MC,29,Enrique Alfaro,Jalisco,0.403,Mitofksy,no en funciones
2022,sep-22,PRI,28,José Rosas Aispuro,Durango,0.129,Arias,no en funciones
2022,sep-22,Morena,28,Indira Vizcaíno,Colima,0.411,Mitofksy,en funciones
2022,sep-22,Morena,27,Lorena Cuéllar,Tlaxcala,0.131,Arias,en funciones
2022,sep-22,PRI,27,Esteban Villegas,Durango,0.426,Mitofksy,en funciones
2022,sep-22,Morena,26,Layda Sansores,Campeche,0.171,Arias,en funciones
2022,sep-22,PES,26,Cuauhtémoc Blanco,Morelos,0.438,Mitofksy,no en funciones
2022,sep-22,Morena,25,Cuitláhuac García,Veracruz,0.177,Arias,no en funciones
2022,sep-22,PRI,25,Alfredo del Mazo,Estado de México,0.442,Mitofksy,no en funciones
2022,sep-22,PRI,24,Alfredo del Mazo,Estado de México,0.205,Arias,no en funciones
2022,sep-22,Morena,24,Alfonso Durazo,Sonora,0.475,Mitofksy,en funciones
2022,sep-22,Morena,23,Alfredo Ramírez Bedolla,Michoacán,0.207,Arias,en funciones
2022,sep-22,PAN,1,Mauricio Vila,Yucatán,0.672,Demoscopia,no en funciones
2022,sep-22,Morena,23,Evelyn Salgado,Guerrero,0.482,Mitofksy,en funciones
2022,sep-22,PES,22,Cuauhtémoc Blanco,Morelos,0.212,Arias,no en funciones
2022,sep-22,Morena,2,Marina del Pilar Ávila,Baja California,0.653,Demoscopia,en funciones
2022,sep-22,PAN,22,María Eugenia Campos,Chihuahua,0.489,Mitofksy,en funciones
2022,sep-22,Morena,21,Indira Vizcaíno,Colima,0.226,Arias,en funciones
2022,sep-22,PAN,3,Mauricio Kuri,Querétaro,0.646,Demoscopia,en funciones
2022,sep-22,Morena,21,Layda Sansores,Campeche,0.499,Mitofksy,en funciones
2022,sep-22,Morena,20,Marina del Pilar Ávila,Baja California,0.235,Arias,en funciones
2022,sep-22,Morena,4,Rubén Rocha Moya,Sinaloa,0.641,Demoscopia,en funciones
2022,sep-22,Morena,20,Rutilio Escandón,Chiapas,0.502,Mitofksy,no en funciones
2022,sep-22,MC,19,Enrique Alfaro,Jalisco,0.24,Arias,no en funciones
2022,sep-22,Morena,5,Layda Sansores,Campeche,0.639,Demoscopia,en funciones
2022,sep-22,Morena,19,Víctor Manuel Castro,Baja California Sur,0.505,Mitofksy,en funciones
2022,sep-22,PRI,18,Miguel Riquelme,Coahuila,0.255,Arias,no en funciones
2022,sep-22,Morena,6,Julio Menchaca,Hidalgo,0.636,Demoscopia,en funciones
2022,sep-22,Morena,18,Miguel Ángel Navarro,Nayarit,0.506,Mitofksy,en funciones
2022,sep-22,PAN,17,María Eugenia Campos,Chihuahua,0.259,Arias,en funciones
2022,sep-22,PRI,7,Esteban Villegas,Durango,0.621,Demoscopia,en funciones
2022,sep-22,PAN,17,Francisco Cabeza de Vaca,Tamaulipas,0.508,Mitofksy,no en funciones
2022,sep-22,PAN,16,Diego Sinhué Rodríguez,Guanajuato,0.275,Arias,no en funciones
2022,sep-22,MC,8,Samuel García,Nuevo León,0.591,Demoscopia,en funciones
2022,sep-22,Morena,16,Claudia Sheinbaum,CDMX,0.509,Mitofksy,no en funciones
2022,sep-22,Morena,15,Víctor Manuel Castro,Baja California Sur,0.298,Arias,en funciones
2022,sep-22,Morena,9,Evelyn Salgado,Guerrero,0.586,Demoscopia,en funciones
2022,sep-22,MC,15,Samuel García,Nuevo León,0.519,Mitofksy,en funciones
2022,sep-22,Morena,14,Miguel Ángel Navarro,Nayarit,0.307,Arias,en funciones
2022,sep-22,PRI,10,Miguel Riquelme,Coahuila,0.582,Demoscopia,no en funciones
2022,sep-22,Morena,14,Carlos Manuel Merino,Tabasco,0.52,Mitofksy,no en funciones
2022,sep-22,Morena,13,Alfonso Durazo,Sonora,0.324,Arias,en funciones
2022,sep-22,Morena,11,Indira Vizcaíno,Colima,0.576,Demoscopia,en funciones
2022,sep-22,Morena,13,Julio Menchaca,Hidalgo,0.521,Mitofksy,en funciones
2022,sep-22,PRI,12,Carlos Joaquín González,Quintana Roo,0.333,Arias,no en funciones
2022,sep-22,Morena,12,Alfonso Durazo,Sonora,0.571,Demoscopia,en funciones
2022,sep-22,PAN,12,Martín Orozco Sandoval,Aguascalientes,0.522,Mitofksy,no en funciones
2022,sep-22,PAN,11,Mauricio Kuri,Querétaro,0.358,Arias,en funciones
2022,sep-22,Morena,13,Miguel Ángel Navarro,Nayarit,0.567,Demoscopia,en funciones
